Property_description,Property_type,Address_of_property,Agent_of_property,Added_date,Updated_date,Price_of_Property,Number_of_rooms,Num_of_bathrooms,Num_of_toilets
"Exquisitely Finished 6 Bedroom Duplex With 2 Room Bq Within Liberty Estate Phase 2, Independence Layout, Enugu",Duplex,"Liberty Estate Phase 2, Independence Layout Enugu Suburb Enugu Area Enugu",Godwin Kalu & Co.,31-Dec-17,31-Dec-17,"?140,000,000",6,6,0
6 Bedroom Detached House For Sale In Enugu Suburb,Bungalow,"00 Nza Street, Independence Layout Enugu Suburb Enugu Area Enugu",Godwin Kalu & Co.,22-Jan-15,22-Jan-15,"?140,000,000",6,0,0
3 Bedroom Duplex All Insuit Well Furnished,Duplex,Diamond Estate V Enugu Area Enugu,Emmglo properties and roofing,18-Jan-23,18-Jan-23,"?150,000,000",3,4,4
5 Bedroom Detached Duplex In Gra,Duplex,Gra By Shoprite Enugu Area Enugu,Emmglo properties and roofing,16-Jan-23,16-Jan-23,"?150,000,000",5,6,6
6 Bedrooms Detached Duplexduplex With C Of O,Duplex,Independence Layout Enugu Area Enugu,Emmglo properties and roofing,16-Jan-23,16-Jan-23,"?150,000,000",6,7,7
Newly Built 4 Bedroom Detached Duplex All Insuit With Swimming Pool,Duplex,Centenary City By Tenance By Almond Garden Estate Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,15-Jan-23,15-Jan-23,"?150,000,000",4,5,5
3 Bedroom Duplex,Duplex,Diamond Estate Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,4-Jan-23,4-Jan-23,"?150,000,000",3,4,4
4 Bedroom Detached Duplex,Duplex,Centenary City By Tenance 1 Beside Almond Garden Estate Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,30-Dec-22,30-Dec-22,"?150,000,000",4,5,5
Tastefully Built 4 Bedroom Detached Duplex With Swimming Pool,Duplex,Centenary By Tannance 1 Beside Almond Garden Estate Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,19-Dec-22,19-Dec-22,"?150,000,000",4,5,5
5 Bedroom Detached Duplex,Duplex,Centinary City Garden Enugu Area Enugu,Emmglo properties and roofing,1-Dec-22,1-Dec-22,"?150,000,000",5,6,6
Tastefully Built 5 Bedroom Detached Duplex,Duplex,Enugu Area Enugu,Emmglo properties and roofing,1-Dec-22,1-Dec-22,"?150,000,000",5,6,6
Twin Detached Duplex With Swimming Pool And Cofo,Duplex,Off Brown And Brown Independence Layout Enugu Area Enugu,Emmglo properties and roofing,1-Dec-22,1-Dec-22,"?150,000,000",10,10,10
Twin Detached Duplex With Swimming Pool And Cofo,Bungalow,Off Brown And Brown Independence Layout Enugu Area Enugu,Emmglo properties and roofing,1-Dec-22,1-Dec-22,"?150,000,000",10,10,10
Beautiful 2 Units Of 2 Bedroom Bungalow,Bungalow,Along Nza Street Independence Layout Enugu Area Enugu,Onyekachukwu Umeh,1-Dec-22,1-Dec-22,"?155,000,000",2,2,3
5 Bedroom Detached Duplex In Gra,Duplex,Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,16-Jan-23,16-Jan-23,"?160,000,000",5,6,6
5 Bedroom Detached Duplex In Gra,Duplex,Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,16-Jan-23,16-Jan-23,"?160,000,000",5,6,6
5 Bedroom Detached Duplex,Duplex,Old Gra Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,3-Jan-23,3-Jan-23,"?160,000,000",5,6,6
Well Renovated 5 Bedroom Detached Duplex,Duplex,Old Gra Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,6-Dec-22,6-Dec-22,"?160,000,000",5,6,6
"For Sale: 5 Bedroom Detached Duplex With 2 Room Bq, Zoo Estate, Enugu",Duplex,Zoo Estate Enugu Suburb Enugu Area Enugu,Godwin Kalu & Co.,28-Nov-17,28-Nov-17,"?170,000,000",5,5,0
House,Block Of Flat,Ziks Avenue Enugu Suburb Enugu Area Enugu,Paul  Uwakwe ,9-Jan-23,9-Jan-23,"?180,000,000",0,0,0
4 Bedroom Detached Duplex With C Of O In 900sqm,Duplex,Ochima Street Independence Layout Enugu Area Enugu,Emmglo properties and roofing,17-Jan-23,17-Jan-23,"?200,000,000",4,5,5
"8 Bedroom Duplex For Sale In New Haven, Enugu",Duplex,"New Haven, Enugu Enugu Suburb Enugu Area Enugu",Vic Estate ,17-Sep-22,17-Sep-22,"?200,000,000",8,10,10
8 Bedroom Mansion In Enugu,Mansion,"Umuoji Off Ozubulu,road Enugu Suburb Enugu Area Enugu",Tierone Properties and Construction Limited,6-Apr-16,6-Apr-16,"?212,000,000",8,0,0
Twin Duplex Insuit Is Up For Sale In A Estate,Duplex,Diamond Estate Enugu Area Enugu,Emmglo properties and roofing,16-Jan-23,16-Jan-23,"?220,000,000",10,10,10
Twin Duplex Insuit Is Up For Sale In A Estate,Duplex,Diamond Estate Enugu Area Enugu,Emmglo properties and roofing,16-Jan-23,16-Jan-23,"?220,000,000",10,10,10
Newly Built Twin Duplex,Duplex,Diamond Estate Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,3-Jan-23,3-Jan-23,"?220,000,000",0,0,0
Twin Detached Duplex All Rooms Ensuit,Duplex,Diamond Estate Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,8-Dec-22,8-Dec-22,"?220,000,000",10,10,10
Beautiful Large Parcel Of Land Fence & Gated,land,Opposite Grail Message Independence Layout Enugu Area Enugu,Onyekachukwu Umeh,1-Dec-22,1-Dec-22,"?220,000,000",4,4,5
Luxury 5 Bedroom Detached Duplex,Duplex,"Golf Estate, Gra Enugu Area Enugu",Onyekachukwu Umeh,1-Dec-22,1-Dec-22,"?285,000,000",5,5,6
10 Bedroom Twin Duplex Insuit With Security House,Duplex,Gra By Golf Estate Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,15-Jan-23,15-Jan-23,"?320,000,000",10,10,10
10 Bedroom Twin Duplex Insuit With Security House,Bungalow,Gra Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,30-Dec-22,30-Dec-22,"?320,000,000",10,10,10
10 Bedroom Twin Duplex With Gateman House In 1100sqm,Duplex,Gra Enugu Suburb Enugu Area Enugu,Emmglo properties and roofing,13-Dec-22,13-Dec-22,"?320,000,000",10,10,10
Fully Furnished,Duplex,Golf Estate Enugu Suburb Enugu Area Enugu,jumax co.,18-Aug-22,18-Aug-22,"?350,000,000",5,5,6
3 Units Of Executive 5 Bedroom Fully Detached Duplex With Swimming Area,Duplex,Osapa Lekki Lagos,CWRE Lagos,30-Jan-23,11-Feb-23,"?370,000,000",5,5,6
Enugu Suburb,Duplex,1 5 Nicon Crescent Independence Layout Enugu Enugu Suburb Enugu Area Enugu,staindiane@yahoo.com null,22-Mar-17,22-Mar-17,"?800,000,000",4,4,5
